,Tweet No.,Final Summary
0,27,"RT @SpaceCityWX: Flooding begins as worst of TS Harveys moisture moves into Houston https://t.co/FtVem0Zp4j https://t.co/sFNiWgPn1K
"
1,178,"Sustained winds of Tropical Storm #Harvey down to 45 mph. Continues to weaken in wind intensity. Heavy rain continu https://t.co/vkGrYHsO9y
"
2,236,"RT @oneredlionnews: PLEASE HELP US HELP THE ANIMALS IN TEXAS!!! https://t.co/VDEceJFAb1 https://t.co/bfj0yyrUsi
"
3,319,"Any port  or bowling alley  in a storm: Harvey evacuees flock to unlikely places https://t.co/03KuzzjDHl https://t.co/Ov2VXY4zDF
"
4,346,"Beaumont-Port Arthur area floods by tropical storm Harvey, oil industry hit financially Watch Now 9 https://t.co/qrMeqERsT2
"
5,443,"Gas prices rise, North Carolina declares state of disaster over fuel shortage concerns https://t.co/GaoGxid3pC https://t.co/7eII79DXcS
"
6,667,"Still urgent need for cleaning supplies and baby food, diapers etc at 8503 Mesa. #HurricaneHarvey #HoustonFlood https://t.co/Rv9nVrxQOV
"
7,720,"Hurricane Harvey Relief Credit: Courtesy | 55th Combat Camera | Date Taken: 09/03/2017 https://t.co/SuzoTPrFzZ
"
8,892,"Busy day, chasing storm damage in Richland Co. A mother and 4 yr-old were sucked out of a home by winds or tornado. https://t.co/l6lxMFgmYx
"
9,916,".@USNavy Aviation Electronics 1st Class Michael Buchholz talks about rescuing people from #Harvey floodwaters https://t.co/YG7oOF0hUq
"
10,989,"Austin Pets Alive! takes in 1,000 pets post-Harvey. https://t.co/VuITUuYxNF https://t.co/PTxFpCxdKm
"
11,1001,"Irma right over St. Martin. Max eyewall wind 185 mph, gusts to 225, equivalent F5 tornado. Path may be changing. https://t.co/9hHgTnk3ET
"
12,1154,"Roster spot gives Vikings rookie Aviante Collins means to help Dad after Hurricane Harvey https://t.co/7lDLCt0ROx https://t.co/ZiCkkujw8A
"
13,1251,"Potter League for Animals set to care for cats and dogs from flood-ravaged Texas: https://t.co/Nse5Lg3NAL #Harvey https://t.co/QfyYzuxTev
"
14,1424,"TORNADO WARNING:NE Mainland Monroe &amp; Inland Dade Storm near 8 mi.NW Homestead Airport moving West 50 mph @CBSMiami https://t.co/xad9obMFUF
"
15,1522,"Tornado warning until 4:15pm for NE #Broward &amp; SE #Palmbeach from Ocean Ridge to Port Everglades. Moving NW at 30mph https://t.co/6rRljLuj8n
"
16,1659,"This Week in Harvey Relief: Lone Star Brewing, Chuck Norris and a Tepee Help Feed Houston  https://t.co/uY3ztz3SG4 https://t.co/FYfiYHQ9ho
"
17,1930,"Trying to salvage an oyster boat in Seadrift harbor. This family lost three boats in #Harvey. https://t.co/6f6UoTvNS8
"
18,1967,"Recap of 2017 storm season- 21 chases 7 shelf clouds 1 tornado 2 hail cores punched 0 regrets. Bring it on 2018! https://t.co/VkKPOXtJAo
"
19,2074,"In wake of Irma, Harvey and Jose, UMass experts offer online 'teachouts' on hurricanes https://t.co/vkcYAQVEED https://t.co/Hhu0LXQXea
"
20,2174,"Insurers facing big bill from natural disasters, Hiscox warns as it counts cost of https://t.co/Q9q0bg7FYB https://t.co/i8C6tyMlQu
"
21,2209,"#TORNADO warning: NW Clatsop co. &amp; SW Pacific co. until 4:15. Moving NE 20 mph. Take cover if you're in the red! https://t.co/pkknEhVYpZ
"
